Dataset,Feature Set,Accuracy,Accuracy Std,AUROC,AUROC Std
Parkinson's Disease,All Features (Full Model),0.8871794871794872,0.038375973197681476,0.9493614303959133,0.019728886689801682
Parkinson's Disease,Without Nonlinear Features,0.8923076923076924,0.019187986598840738,0.939463601532567,0.03379224428852932
Parkinson's Disease,Without Praat Features,0.8717948717948717,0.05847053462046863,0.9387484035759897,0.03812232511967776
Parkinson's Disease,Praat + Pitch Only,0.8923076923076924,0.019187986598840738,0.939463601532567,0.03379224428852932
Parkinson's Disease,Nonlinear Features Only,0.7538461538461538,0.044706655831186395,0.7353767560664114,0.028221742409576867
Parkinson's Disease,Praat Features Only,0.8307692307692307,0.038375973197681476,0.8625670498084291,0.06848767098373823
Respiratory Abnormality,All Features (Full Model),0.6933946134721524,0.010227301057916516,0.7572803365685609,0.009508679751144689
Respiratory Abnormality,Without Praat Features,0.6823213543603316,0.009226516365741563,0.744067913486298,0.00897541993949364
Respiratory Abnormality,Without MFCCs,0.6179823122407168,0.01633453178343776,0.6557609339517187,0.0171167074476379
Respiratory Abnormality,Without Librosa Features,0.6836577790415364,0.006411235373371003,0.7465074271169576,0.007536349177080709
Respiratory Abnormality,Praat Features Only,0.5628108663794047,0.012154659324738849,0.5900941973657602,0.006476912347942968
Respiratory Abnormality,MFCCs Only,0.6716303214564332,0.012191086611440772,0.7301612370146234,0.012936358585114686
Respiratory Abnormality,Librosa Only,0.5448606341637685,0.009693804387635879,0.5665985210873496,0.013768282826503145
Psychological Stress,All Features (Full Model),0.8380667083966735,0.021076434997921258,0.9180719796351824,0.0210610969300836
Psychological Stress,Without Praat Features,0.8314495215952785,0.014117388937736996,0.9065257215142429,0.013682694612681632
Psychological Stress,Without MFCCs,0.7177859250648305,0.030505847195217452,0.780785154297851,0.04870599986916613
Psychological Stress,Without Librosa Features,0.8324018599660199,0.01797234202899877,0.9194790885807096,0.013852259007830088
Psychological Stress,Praat Features Only,0.5899713851381562,0.04432361167130573,0.6498499187906047,0.05038428922170648
Psychological Stress,MFCCs Only,0.8200840561566665,0.006454469259632858,0.9047343515742128,0.009589318907557952
Psychological Stress,Librosa Only,0.6496423142269516,0.020371945631801166,0.6867939467766117,0.03222443611227818
Depression Indicators,All Features (Full Model),0.7793749441115979,0.03464123119217358,0.8600744159170415,0.033707390705018825
Depression Indicators,Without Praat Features,0.7623222748815166,0.03347528604058826,0.8417712237631184,0.023647761636278727
Depression Indicators,Without MFCCs,0.6581462934811768,0.006816712222762107,0.7127384745127436,0.03126891346039504
Depression Indicators,Without Librosa Features,0.7812706787087544,0.017546667876563615,0.8575326399300351,0.032588010986392586
Depression Indicators,Praat Features Only,0.5690646517034785,0.03769339130613682,0.6162764711394303,0.024635839967198276
Depression Indicators,MFCCs Only,0.7727756415988554,0.026297067703999037,0.8403241348075963,0.026444070067437906
Depression Indicators,Librosa Only,0.6212286506304212,0.02604098593356759,0.641609742003998,0.03899317384367004
