feature,condition,mean_shap,shared
spread1,parkinsons,0.05265,False
spread2,parkinsons,0.051529,False
PPE,parkinsons,0.050555,False
Shimmer:APQ5,parkinsons,0.034185,False
MDVP:APQ,parkinsons,0.033263,False
MDVP:Fhi(Hz),parkinsons,0.029361,False
DFA,parkinsons,0.029159,False
D2,parkinsons,0.027761,False
MDVP:Shimmer,parkinsons,0.025127,False
MDVP:Shimmer(dB),parkinsons,0.019996,False
Shimmer:APQ3,parkinsons,0.019125,False
MDVP:Fo(Hz),parkinsons,0.01902,False
Shimmer:DDA,parkinsons,0.016328,False
Jitter:DDP,parkinsons,0.015688,False
MDVP:RAP,parkinsons,0.013205,False
mfcc_10,respiratory,0.044373,False
mfcc_6,respiratory,0.032899,False
mfcc_8,respiratory,0.02844,False
hnr,respiratory,0.027974,False
mfcc_9,respiratory,0.027617,False
shimmer,respiratory,0.025041,False
spectral_centroid,respiratory,0.023218,False
zcr,respiratory,0.021294,False
jitter,respiratory,0.019006,False
mfcc_12,respiratory,0.017974,False
mfcc_5,respiratory,0.015518,False
mfcc_11,respiratory,0.01281,False
mfcc_4,respiratory,0.012174,False
pitch,respiratory,0.012163,False
mfcc_7,respiratory,0.011922,False
